Include/internal/pycore_object.h	_PyDictOrValues_GetDict
Include/internal/pycore_opcode.h	_PyOpcode_Caches
Include/internal/pycore_opcode.h	_PyOpcode_Deopt
Include/internal/pycore_pyerrors.h	_PyErr_Occurred
Include/internal/pycore_pystate.h	_Py_IsMainThread
Include/internal/pycore_pystate.h	_PyInterpreterState_Main
Include/internal/pycore_pystate.h	_Py_IsMainInterpreter
Include/internal/pycore_pystate.h	_Py_ThreadCanHandleSignals
Include/internal/pycore_pystate.h	_PyThreadState_GET
Include/internal/pycore_pystate.h	_Py_EnsureFuncTstateNotNULL
Include/internal/pycore_pystate.h	_PyInterpreterState_GET
Include/internal/pycore_typeobject.h	_PyType_IsReady
Include/object.h	Py_REFCNT
Include/object.h	Py_TYPE
Include/object.h	Py_SIZE
Include/object.h	_Py_IsImmortal
Include/object.h	Py_IS_TYPE
Include/object.h	Py_SET_REFCNT
Include/object.h	Py_SET_TYPE
Include/object.h	Py_SET_SIZE
Include/object.h	PyObject_TypeCheck
Include/object.h	Py_INCREF
Include/object.h	Py_DECREF
Include/object.h	Py_XINCREF
Include/object.h	Py_XDECREF
Include/object.h	_Py_NewRef
Include/object.h	_Py_XNewRef
Include/object.h	PyType_HasFeature
Include/object.h	PyType_Check
Include/object.h	PyType_CheckExact
Include/pydtrace.h	PyDTrace_GC_START
Include/pydtrace.h	PyDTrace_GC_DONE
Include/pydtrace.h	PyDTrace_GC_START_ENABLED
Include/pydtrace.h	PyDTrace_GC_DONE_ENABLED
Modules/gcmodule.c	gc_is_collecting
Modules/gcmodule.c	gc_clear_collecting
Modules/gcmodule.c	gc_get_refs
Modules/gcmodule.c	gc_set_refs
Modules/gcmodule.c	gc_reset_refs
Modules/gcmodule.c	gc_decref
Modules/gcmodule.c	get_gc_state
Modules/gcmodule.c	gc_list_init
Modules/gcmodule.c	gc_list_is_empty
Modules/gcmodule.c	gc_list_append
Modules/gcmodule.c	gc_list_move
Modules/gcmodule.c	gc_list_merge
Modules/gcmodule.c	gc_list_size
Modules/gcmodule.c	gc_list_clear_collecting
Modules/gcmodule.c	update_refs
Modules/gcmodule.c	visit_decref
Modules/gcmodule.c	subtract_refs
Modules/gcmodule.c	visit_reachable
Modules/gcmodule.c	move_unreachable
Modules/gcmodule.c	untrack_tuples
Modules/gcmodule.c	untrack_dicts
Modules/gcmodule.c	has_legacy_finalizer
Modules/gcmodule.c	move_legacy_finalizers
Modules/gcmodule.c	clear_unreachable_mask
Modules/gcmodule.c	visit_move
Modules/gcmodule.c	move_legacy_finalizer_reachable
Modules/gcmodule.c	handle_weakrefs
Modules/gcmodule.c	debug_cycle
Modules/gcmodule.c	handle_legacy_finalizers
Modules/gcmodule.c	finalize_garbage
Modules/gcmodule.c	delete_garbage
Modules/gcmodule.c	clear_freelists
Modules/gcmodule.c	show_stats_each_generations
Modules/gcmodule.c	deduce_unreachable
Modules/gcmodule.c	handle_resurrected_objects
Modules/gcmodule.c	gc_collect_main
Modules/gcmodule.c	invoke_gc_callback
Modules/gcmodule.c	gc_collect_with_callback
Modules/gcmodule.c	gc_collect_generations
Modules/gcmodule.c	_Py_RunGC
